"filename", "language", "TypeScript React", "TypeScript", "JavaScript", "JSON", "CSS", "XML", "comment", "blank", "total"
"d:\Alexander\caja\my-app\src\App.css", "CSS", 0, 0, 0, 0, 88, 0, 0, 14, 102
"d:\Alexander\caja\my-app\src\ContextMenuExample.tsx", "TypeScript React", 49, 0, 0, 0, 0, 0, 5, 6, 60
"d:\Alexander\caja\my-app\src\boostrap\components\App.tsx", "TypeScript React", 120, 0, 0, 0, 0, 0, 23, 7, 150
"d:\Alexander\caja\my-app\src\boostrap\components\HrApp.tsx", "TypeScript React", 85, 0, 0, 0, 0, 0, 0, 2, 87
"d:\Alexander\caja\my-app\src\boostrap\components\IamApp.tsx", "TypeScript React", 55, 0, 0, 0, 0, 0, 8, 3, 66
"d:\Alexander\caja\my-app\src\boostrap\components\MedicalApp.tsx", "TypeScript React", 27, 0, 0, 0, 0, 0, 0, 3, 30
"d:\Alexander\caja\my-app\src\boostrap\reducers\index.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 2, 12
"d:\Alexander\caja\my-app\src\commons\components\LoadingInput.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 0, 2, 15
"d:\Alexander\caja\my-app\src\commons\components\PDFViewer.tsx", "TypeScript React", 11, 0, 0, 0, 0, 0, 0, 2, 13
"d:\Alexander\caja\my-app\src\commons\components\Sidebar.tsx", "TypeScript React", 53, 0, 0, 0, 0, 0, 1, 4, 58
"d:\Alexander\caja\my-app\src\commons\components\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 2
"d:\Alexander\caja\my-app\src\commons\components\layouts\SidebarLayout.tsx", "TypeScript React", 22, 0, 0, 0, 0, 0, 6, 3, 31
"d:\Alexander\caja\my-app\src\commons\hooks\index.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 4, 55
"d:\Alexander\caja\my-app\src\commons\services\apiClient.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 1, 6, 25
"d:\Alexander\caja\my-app\src\configs\app.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\Alexander\caja\my-app\src\features\auth\components\Login.tsx", "TypeScript React", 103, 0, 0, 0, 0, 0, 5, 5, 113
"d:\Alexander\caja\my-app\src\features\auth\components\ProtectedRoute.tsx", "TypeScript React", 28, 0, 0, 0, 0, 0, 0, 2, 30
"d:\Alexander\caja\my-app\src\features\auth\components\auth.css", "CSS", 0, 0, 0, 0, 15, 0, 1, 1, 17
"d:\Alexander\caja\my-app\src\features\auth\components\index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 2
"d:\Alexander\caja\my-app\src\features\auth\reducers\index.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
"d:\Alexander\caja\my-app\src\features\auth\reducers\loadUser.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 10
"d:\Alexander\caja\my-app\src\features\auth\reducers\login.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 1, 18
"d:\Alexander\caja\my-app\src\features\auth\reducers\loginForm.ts", "TypeScript", 0, 39, 0, 0, 0, 0, 0, 1, 40
"d:\Alexander\caja\my-app\src\features\auth\reducers\user.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 1, 13
